City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,AQI_lag1,AQI_lag2,AQI_lag3,AQI_lag7,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM10_lag1,PM10_lag2,PM10_lag3,PM10_lag7,NO2_lag1,NO2_lag2,NO2_lag3,NO2_lag7,SO2_lag1,SO2_lag2,SO2_lag3,SO2_lag7,CO_lag1,CO_lag2,CO_lag3,CO_lag7,O3_lag1,O3_lag2,O3_lag3,O3_lag7,AQI_rolling7_mean,AQI_rolling7_std,AQI_rolling30_mean,AQI_rolling30_std,PM2.5_rolling7_mean,PM10_rolling7_mean
Delhi,2015-01-30,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,3.65,6.61,3.35,345.0,Very Poor,2015,1,Winter,327.0,295.0,318.0,254.0,173.13,134.6,154.2,128.73,277.0,156.9,217.2,136.07,38.34,28.6,30.39,17.35,5.53,5.21,6.42,6.77,11.74,10.21,10.36,8.74,16.29,15.23,17.11,10.91,319.14285714285717,19.437322958924156,342.56666666666666,56.668231891838,154.69714285714284,209.34285714285716
Delhi,2015-01-31,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,4.36,8.98,2.54,334.0,Very Poor,2015,1,Winter,345.0,327.0,295.0,324.0,178.04,173.13,134.6,164.98,272.61,277.0,156.9,200.02,38.43,38.34,28.6,15.77,6.43,5.53,5.21,8.89,11.58,11.74,10.21,9.39,14.91,16.29,15.23,9.35,320.57142857142856,20.206081121427548,337.96666666666664,51.129641401882104,153.78428571428572,210.34857142857143
Delhi,2015-02-01,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0,Very Poor,2015,2,Winter,334.0,345.0,327.0,333.0,158.59,178.04,173.13,148.59,207.06,272.61,277.0,203.81,41.36,38.43,38.34,20.83,5.03,6.43,5.53,5.96,8.7,11.58,11.74,11.44,17.51,14.91,16.29,16.65,324.14285714285717,24.51821480334273,334.76666666666665,46.402796685435725,162.78428571428572,234.24
Delhi,2015-02-02,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0,Very Poor,2015,2,Winter,358.0,334.0,345.0,292.0,211.59,158.59,178.04,129.34,371.05,207.06,272.61,137.86,58.17,41.36,38.43,25.66,9.9,5.03,6.43,6.78,13.08,8.7,11.58,10.19,23.28,17.51,14.91,18.18,332.2857142857143,21.320680771763076,341.6333333333333,29.04038013113669,167.68428571428572,245.95142857142858
Delhi,2015-02-03,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0,Very Poor,2015,2,Winter,349.0,358.0,334.0,318.0,163.64,211.59,158.59,154.2,219.84,371.05,207.06,217.2,37.25,58.17,41.36,30.39,5.31,9.9,5.03,6.42,10.59,13.08,8.7,10.36,28.38,23.28,17.51,17.11,334.57142857142856,20.370379990377714,342.1333333333333,28.765081002101667,168.18571428571428,242.65000000000003
Delhi,2015-02-04,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,3.04,6.31,2.79,313.0,Very Poor,2015,2,Winter,334.0,349.0,358.0,295.0,157.71,163.64,211.59,134.6,194.09,219.84,371.05,156.9,31.05,37.25,58.17,28.6,5.64,5.31,9.9,5.21,8.21,10.59,13.08,10.21,28.56,28.38,23.28,15.23,337.14285714285717,14.960264830861933,341.73333333333335,29.093112507985424,168.56571428571428,241.24714285714285
Delhi,2015-02-05,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,3.33,262.0,Poor,2015,2,Winter,313.0,334.0,349.0,327.0,137.26,157.71,163.64,173.13,147.08,194.09,219.84,277.0,29.69,31.05,37.25,38.34,5.06,5.64,5.31,5.53,9.11,8.21,10.59,11.74,15.07,28.56,28.38,16.29,327.85714285714283,32.359586788815065,339.8666666666667,32.28935271650043,162.65571428571428,219.87857142857143
Delhi,2015-02-06,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,9.46,19.7,9.77,303.0,Very Poor,2015,2,Winter,262.0,313.0,334.0,345.0,131.76,137.26,157.71,178.04,127.42,147.08,194.09,272.61,36.51,29.69,31.05,38.43,4.85,5.06,5.64,6.43,8.18,9.11,8.21,11.58,21.7,15.07,28.56,14.91,321.85714285714283,32.5444750632554,338.2,32.87321517378653,158.87857142857143,228.21857142857144
Delhi,2015-02-07,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,5.5,14.95,6.68,329.0,Very Poor,2015,2,Winter,303.0,262.0,313.0,334.0,151.6,131.76,137.26,158.59,330.99,127.42,147.08,207.06,67.0,36.51,29.69,41.36,9.13,4.85,5.06,5.03,5.51,8.18,9.11,8.7,33.92,21.7,15.07,17.51,321.14285714285717,32.28739987171754,336.4,31.796334640202225,159.18714285714285,228.71285714285713
Delhi,2015-02-08,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,2.42,6.5,0.57,323.0,Very Poor,2015,2,Winter,329.0,303.0,262.0,358.0,160.75,151.6,131.76,211.59,210.52,330.99,127.42,371.05,57.69,67.0,36.51,58.17,6.91,9.13,4.85,9.9,10.28,5.51,8.18,13.08,43.44,33.92,21.7,23.28,316.14285714285717,28.062006173404352,334.6666666666667,31.02761098889441,149.72285714285712,206.51857142857145
Delhi,2015-02-09,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,2.59,3.17,1.24,266.0,Poor,2015,2,Winter,323.0,329.0,303.0,349.0,145.34,160.75,151.6,163.64,215.69,210.52,330.99,219.84,50.39,57.69,67.0,37.25,8.66,6.91,9.13,5.31,5.39,10.28,5.51,10.59,30.43,43.44,33.92,28.38,304.2857142857143,29.369566366758267,331.0,32.441990669820036,145.5842857142857,190.80714285714288
Delhi,2015-02-10,153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,5.58,7.1,7.93,319.0,Very Poor,2015,2,Winter,266.0,323.0,329.0,334.0,134.67,145.34,160.75,157.71,109.86,215.69,210.52,194.09,39.18,50.39,57.69,31.05,9.7,8.66,6.91,5.64,5.11,5.39,10.28,8.21,20.62,30.43,43.44,28.56,302.14285714285717,27.31561562811364,329.0,31.20676319270421,144.92142857142855,194.25571428571428
Delhi,2015-02-11,116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,5.96,5.59,10.72,334.0,Very Poor,2015,2,Winter,319.0,266.0,323.0,313.0,153.07,134.67,145.34,137.26,218.23,109.86,215.69,147.08,42.2,39.18,50.39,29.69,5.81,9.7,8.66,5.06,10.88,5.11,5.39,9.11,19.02,20.62,30.43,15.07,305.14285714285717,29.751350509562528,327.6333333333333,29.997107140216208,142.0142857142857,218.40714285714284
Delhi,2015-02-12,177.98,394.97,30.48,42.73,58.19,69.47,13.28999999999995,9.2,25.58,3.5,7.38,10.65,342.0,Very Poor,2015,2,Winter,334.0,319.0,266.0,262.0,116.91,153.07,134.67,131.76,316.14,218.23,109.86,127.42,53.63,42.2,39.18,36.51,7.54,5.81,9.7,4.85,12.64,10.88,5.11,8.18,27.17,19.02,20.62,21.7,316.57142857142856,25.474543783007622,326.8333333333333,29.249324582043737,148.61714285714285,256.62857142857143
Delhi,2015-02-13,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,11.45,341.0,Very Poor,2015,2,Winter,342.0,334.0,319.0,303.0,177.98,116.91,153.07,151.6,394.97,316.14,218.23,330.99,42.73,53.63,42.2,67.0,9.2,7.54,5.81,9.13,13.75,12.64,10.88,5.51,25.58,27.17,19.02,33.92,322.0,26.140645235596722,326.43333333333334,28.959762017184378,150.81857142857143,256.2628571428571
Delhi,2015-02-14,193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,9.01,17.88,14.17,377.0,Very Poor,2015,2,Winter,341.0,342.0,334.0,329.0,167.01,177.98,116.91,160.75,328.43,394.97,316.14,210.52,44.61,42.73,53.63,57.69,7.77,9.2,7.54,6.91,11.26,13.75,12.64,10.28,27.62,25.58,27.17,43.44,328.85714285714283,33.533210262010165,327.6666666666667,30.31368569194261,155.56285714285715,285.1114285714286
Delhi,2015-02-15,184.06,497.37,44.16,58.15,75.98,61.89,13.28999999999995,9.13,40.91,4.79,8.98,12.44,391.0,Very Poor,2015,2,Winter,377.0,341.0,342.0,323.0,193.96,167.01,177.98,145.34,412.46,328.43,394.97,215.69,53.81,44.61,42.73,50.39,9.36,7.77,9.2,8.66,11.73,11.26,13.75,5.39,34.22,27.62,25.58,30.43,338.57142857142856,40.64831748406949,328.8333333333333,32.0646796048381,161.09428571428572,325.3514285714286
Delhi,2015-02-16,152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,3.49,358.0,Very Poor,2015,2,Winter,391.0,377.0,341.0,266.0,184.06,193.96,167.01,134.67,497.37,412.46,328.43,109.86,58.15,53.81,44.61,39.18,9.13,9.36,7.77,9.7,13.78,11.73,11.26,5.11,40.91,34.22,27.62,20.62,351.7142857142857,25.217152137082394,328.76666666666665,31.999658762548403,163.6585714285714,354.0485714285714
